ID,CEP,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,LOCALIDADE_ID
2efd9117-214f-4387-a889-60445a9700df,24611654,Estrada São João,1387,Apto. 101,Centro,cf5c7366-7d19-4f43-bda0-0f8678d20544
6d71bee1-6887-40cc-a10d-632d87a16364,88575315,Estrada do Comércio,248,Apto. 101,Itaim Bibi,933243f9-4aec-4288-af69-4d6ecf0cc16b
c9001c75-86a5-4f57-b8c0-a2173d1af703,64800891,Praça Ipiranga,1525,Fundos,Lapa,3f725fe9-ba1f-4f8f-8542-1582e80c3724
77a2b583-20b2-43ac-8b51-1206b48e88ca,45713330,Estrada da Liberdade,525,Apto. 101,Jardim Paulista,cf5c7366-7d19-4f43-bda0-0f8678d20544
611c2cc7-8981-485c-975f-178ae36e6c62,61180549,Alameda da Liberdade,1026,Fundos,Santa Cecília,d43066d2-5762-4fa1-af9a-2258511482f7
418bbe46-516c-498c-ada0-5fdece561454,10572515,Travessa da Liberdade,830,Loja 5,Centro,0c6c715c-8c82-407d-8fc8-5d4fab0c8284
52ac82d4-6b0e-4c90-8a4f-4f66e404c0ee,48389672,Alameda do Comércio,1217,,Jardim Paulista,3f725fe9-ba1f-4f8f-8542-1582e80c3724
1cad3ff9-f4d2-42fb-83b9-332bd7601407,87679368,Praça Ipiranga,1304,Fundos,Moema,3f725fe9-ba1f-4f8f-8542-1582e80c3724
7556d4fb-b161-497b-8425-14b7f70bf9a1,39509209,Avenida dos Andradas,1640,Casa 2,Pinheiros,3ba47ebc-5b33-4dc7-bff7-6749b2f76580
51203fbb-7c51-454e-b4af-9a6766e526bc,81929785,Estrada das Flores,129,Sala 302,Savassi,933243f9-4aec-4288-af69-4d6ecf0cc16b
950ec5a7-7514-4ebf-b71e-9f0fb3221401,50847780,Avenida Brasil,161,,Centro,0359ed1a-cacb-47df-b04e-4c1c6c4f9bc3
1b80d79e-166d-4753-adb8-7615f2dc398e,56334960,Avenida Dom Pedro II,566,Fundos,Santa Cecília,0c6c715c-8c82-407d-8fc8-5d4fab0c8284
651b1292-77b5-4065-be1f-80db67d7e04a,73826271,Estrada do Comércio,1187,Apto. 101,Centro,f65dc74b-bfb1-4ab5-9fe2-99e544b049be
e82e5a5d-3150-43f0-9a28-7b2a9806d7fe,70332312,Praça do Comércio,995,Fundos,Santa Cecília,933243f9-4aec-4288-af69-4d6ecf0cc16b
dda35448-f979-411d-a8dc-85c16198cce3,89261371,Travessa dos Andradas,778,Casa 2,Santa Cecília,3ba47ebc-5b33-4dc7-bff7-6749b2f76580
77754757-82fe-4004-b355-0140453b9817,71128202,Avenida São João,653,Casa 2,Copacabana,8889ee61-9c8c-4e5f-9609-430d512666b1
f5bd7d30-cf01-48ac-b55b-3b4367390757,36104656,Rua dos Andradas,933,Sobreloja,Savassi,0359ed1a-cacb-47df-b04e-4c1c6c4f9bc3
2179e031-8f14-431c-be30-427a3c5519ac,30482785,Estrada das Flores,1932,Apto. 101,Savassi,3ba47ebc-5b33-4dc7-bff7-6749b2f76580
0322c665-db75-40a9-884d-b6738299ff0f,83635347,Praça XV de Novembro,234,Bloco B,Lapa,0c6c715c-8c82-407d-8fc8-5d4fab0c8284
78250faa-1204-4cc6-bf4a-fc55f39680fc,44503362,Estrada do Comércio,916,,Boa Vista,d43066d2-5762-4fa1-af9a-2258511482f7
33d7b165-ccc8-48af-80e5-56a3f401ec80,47650812,Praça dos Andradas,1019,Sala 302,Pinheiros,933243f9-4aec-4288-af69-4d6ecf0cc16b
1ea326ff-e1ce-4c36-a517-ca786f46ec26,16846335,Avenida XV de Novembro,366,Apto. 101,Savassi,d43066d2-5762-4fa1-af9a-2258511482f7
fde02882-2745-48ff-b57d-3b9f346b54dd,68329394,Rua Brasil,522,Bloco B,Savassi,d43066d2-5762-4fa1-af9a-2258511482f7
aa2a61ad-8db5-4bbe-ba2b-03cab16d72d4,75477718,Rua da Liberdade,1141,,Savassi,d43066d2-5762-4fa1-af9a-2258511482f7
