ID,ESTADO,NOME_CIDADE,CODIGO_LOCADORA_VEICULO
c5253d11-82ea-4025-ae2c-bb0f31ba9577,RO,Alta Floresta D'oeste,B80B5909
3b02d794-f7ce-421c-8be6-53c6baa97917,RO,Ariquemes,328575F9
9ea662df-17b7-4e3f-a8fb-eb9fbd8e70f2,RO,Cabixi,FF272505
62d51f66-e7c5-4d93-ac66-41f842045070,RO,Cacoal,445B46BE
3a3b333e-c5aa-4693-8e28-e280caa0c621,RO,Cerejeiras,C0D5AC2D
2900bafd-830a-4bf0-bccb-17eed33c5c32,RO,Colorado do Oeste,4566C9BD
1beeb8ee-6bad-4ed3-93d3-911c21657ad4,RO,Corumbiara,77F6E3E6
c71fc4cb-1e1b-4f20-9c5f-f604af73eda1,RO,Costa Marques,6E66FFE5
7ed185c5-3e8a-426c-ba83-4d25fea34ff5,RO,Espigão D'oeste,99FF29C3
bb9bebdd-aa7d-45d1-8b23-c7d072e84df8,RO,Guajará-Mirim,7041484B
bfd21dbd-7554-4d8f-8214-9f63a146b1d1,RO,Jaru,D3FFCEFC
caa69725-173b-4f01-9936-e0b89dd73b03,RO,Ji-Paraná,895278BA
707489be-d359-437c-b276-2d6c441b5611,RO,Machadinho D'oeste,356CD46F
abd47fbf-1799-4590-90ac-7b8d8ece4d49,RO,Nova Brasilândia D'oeste,23C6D0D3
7aa71ceb-7e04-4071-9bd0-217bcd255e8e,RO,Ouro Preto do Oeste,0BCB579C
f15726fb-ae74-427f-bdeb-642c0d054d4e,RO,Pimenta Bueno,413F7066
a6b329ce-ce2e-4c9d-bd88-2b3a5e1737ba,RO,Porto Velho,93DD0E49
ca1da983-a77a-4dbd-bbf9-a4d0720a64f3,RO,Presidente Médici,8E1DE901
12e3beab-1dcf-475d-bc56-0bc76b0d8d39,RO,Rio Crespo,4A785BF5
10dcc168-f553-47b5-9d0b-29908130b3f9,RO,Rolim de Moura,E3D4F670
8241d6ff-67d8-434d-9a9c-65be7471cbfb,RO,Santa Luzia D'oeste,6A681231
4ed72352-26ca-4605-aeca-72ac1d6f9a47,RO,Vilhena,C502F2E9
7a584e45-14f3-4d76-a813-271bba74086c,RO,São Miguel do Guaporé,678C6808
75fbb5b6-901e-492b-b34a-6b91d9a8dc7d,RO,Nova Mamoré,25867623
82214af5-29f9-4cf9-88a6-9c3da6338a83,RO,Alvorada D'oeste,2A933EEF
c18e5c18-0c64-47e1-ac97-a0821adc23d0,RO,Alto Alegre dos Parecis,4875002F
152c59bd-aaeb-4aac-a344-dc807114040c,RO,Alto Paraíso,E16827F0
2ce606b4-9e41-4fcb-8c05-320c64908b5f,RO,Buritis,E02C67F2
5e2e7fbc-17b3-48e3-acd0-7464eae10148,RO,Novo Horizonte do Oeste,7421849D
93065f81-7c4e-4260-bb4e-bc1f1626f00d,RO,Cacaulândia,EF31A0BE
c75014d1-ce8e-4a52-a580-1ae7b02aa3e4,RO,Campo Novo de Rondônia,590FEDC8
5fddb7c3-7ec0-4c1c-8324-a73647509f66,RO,Candeias do Jamari,E46CDAF8
69106e89-785f-43f2-8f59-b24b2a29e5ff,RO,Castanheiras,71325A46
04777ac4-df78-4f60-8be0-79f05745587a,RO,Chupinguaia,03B579F2
8d934b74-d0b3-42a6-83d8-2393143c347d,RO,Cujubim,7E05572D
f1bc8158-3570-4ac0-9689-d03a8ab842ca,RO,Governador Jorge Teixeira,F2A4AC6D
b4a6dd49-1a4f-435d-a306-80a85395caa9,RO,Itapuã do Oeste,EDA1693B
a3093087-db36-420b-b190-280fa9e3185f,RO,Ministro Andreazza,0DDD24D1
276852d2-3fda-4e21-aff5-29c790270bb8,RO,Mirante da Serra,3BA81EDA
