ID,PACOTE_ID,NOME_LOCADORA,EMAIL,TELEFONE,CATEGORIA_CARRO,PRECO,TIPO
c1e1c207-2c27-41c7-8472-cf44c13f3f19,0018e0da-d903-4181-862b-0127bae799ea,Rota Livre,contato@rotalivre.com.br,(11) 98765-4321,Econômico,125,VEICULO
b8906d17-9116-4f52-86b7-a618ffb33e8b,00723f98-a7a7-42cf-ae53-aa2b449c86c6,Vai de Carro,sac@vaidecarro.com,(21) 91234-5678,Intermediário,180,VEICULO
9ae779cd-c244-4d7d-a477-6b2138fa172e,009ce3cb-25bd-4ef5-ba13-391a2817c19e,Quilômetro Certo,atendimento@quilometrocerto.com.br,(31) 95678-1234,SUV,150,VEICULO
18df4521-28cf-4808-9ec1-6073358bf8c6,01a762e7-7548-4b6c-8962-2c53dd36cc85,Carro Já,suporte@carroja.com.br,(41) 96543-8765,Luxo,195,VEICULO
10c44ec6-1a57-487a-ae22-eba96de3384f,0263d1fc-b72e-4b18-8d7d-c6cbe8203853,Veloz e Seguro,contato@velozeseguro.com,(51) 97890-1234,Econômico,110,VEICULO
73645979-bb60-4b0b-ac29-e5dbb3e00423,02641de8-d3d7-40a8-86bf-2fb89754aafc,Roda Fácil,sac@rodafácil.com.br,(61) 94321-8765,Intermediário,160,VEICULO
de8c7051-c050-465e-8376-7a77913fb1db,02c5f980-c9b7-4f39-8639-5d62935a7a60,Aluga Bem,atendimento@alugabem.com,(71) 98765-4321,SUV,175,VEICULO
4067909a-73c9-42a0-b7b4-4edf90d31f40,02f2684b-366e-4f8f-8e3f-fa17750a856c,Pé na Estrada,contato@penanestrada.com.br,(81) 91234-5678,Luxo,190,VEICULO
7a5dbf4c-31dc-45ec-8748-3a05a407fcb6,0362ceb8-1482-4067-a5d9-1ce936a6eb45,Carro Express,suporte@carroexpress.com,(91) 95678-1234,Econômico,135,VEICULO
87a172dc-6f68-4881-bb9b-999d50f1278e,03a15c95-a61d-4e30-9430-679cb502122a,Sempre em Frente,atendimento@sempreemfrente.com.br,(11) 96543-8765,Intermediário,145,VEICULO
6290bbe9-19f0-49e0-b82d-4e82c01cde86,03a6ce05-141b-4a0c-82a0-0ab0b7320819,Rota Livre,contato@rotalivre.com.br,(11) 98765-4321,Econômico,125,VEICULO
f65ccfd6-351a-4b24-a86c-70610a30d5de,051c09b9-9186-453f-b138-08d616112828,Vai de Carro,sac@vaidecarro.com,(21) 91234-5678,Intermediário,180,VEICULO
ce14b45e-6bf3-4e9d-b96b-5057c500c1cc,05893f1c-5226-4d51-8985-1bb82478cb22,Quilômetro Certo,atendimento@quilometrocerto.com.br,(31) 95678-1234,SUV,150,VEICULO
34095844-1faa-406b-9f58-d20da95f932c,05ee6f52-85be-45e8-b42c-ef15c905f2d3,Carro Já,suporte@carroja.com.br,(41) 96543-8765,Luxo,195,VEICULO
743b267a-667a-41db-abd1-454de4a64acc,05f39ea2-b9d3-4a94-89c4-b09c84d105e9,Veloz e Seguro,contato@velozeseguro.com,(51) 97890-1234,Econômico,110,VEICULO
9e37b4eb-4182-47e9-a7b0-374b1bdd4c2a,0610acbd-0359-405d-bc4a-2bda1b31d343,Roda Fácil,sac@rodafácil.com.br,(61) 94321-8765,Intermediário,160,VEICULO
f98219b2-8cb1-4d32-a198-055cd36cc084,061f5edb-3c9a-47bd-9448-9e65de229e23,Aluga Bem,atendimento@alugabem.com,(71) 98765-4321,SUV,175,VEICULO
c90f4a8d-f2fe-4aa0-b262-57d847a0b6f6,06a839a7-39e1-4a75-b23b-a96795e6a8e5,Pé na Estrada,contato@penanestrada.com.br,(81) 91234-5678,Luxo,190,VEICULO
971ca7b1-f1a7-449c-b581-05ce872c9dfe,0801a7c5-7a75-4987-b312-43f9136f83cc,Carro Express,suporte@carroexpress.com,(91) 95678-1234,Econômico,135,VEICULO
aa2e0a0a-86f5-4b4b-90ad-81a0b06d14f1,0839cd7c-6da7-4cb3-bd17-b0626553c957,Sempre em Frente,atendimento@sempreemfrente.com.br,(11) 96543-8765,Intermediário,145,VEICULO
bccb5e66-d266-434c-ac78-15a2ce9fe14f,0847bd11-58c1-477c-97cc-19e945bd1b76,Rota Livre,contato@rotalivre.com.br,(11) 98765-4321,Econômico,125,VEICULO
1dc14c13-67bf-4831-8e48-b526f411c76a,0863a7b1-1930-478e-8b99-7431dbb85747,Vai de Carro,sac@vaidecarro.com,(21) 91234-5678,Intermediário,180,VEICULO
bb0c54a6-d6ab-402e-b20d-bbb05375200f,0883a3b8-1ee3-4843-bd1f-33bc0f37b796,Quilômetro Certo,atendimento@quilometrocerto.com.br,(31) 95678-1234,SUV,150,VEICULO
a61386a1-46ff-4bd3-ba27-be37825d39e1,08df71d9-86c0-4552-9e15-be09a2ecd885,Carro Já,suporte@carroja.com.br,(41) 96543-8765,Luxo,195,VEICULO
f083ae7b-9a11-4c2f-ad36-d6a863cc492b,09c7382f-47b1-4452-834a-dbdc36109f76,Veloz e Seguro,contato@velozeseguro.com,(51) 97890-1234,Econômico,110,VEICULO
06ce737e-7653-4afb-b6f8-7f35e3e67271,09f05155-6f96-44cb-8d0b-29ee8c9bc86d,Roda Fácil,sac@rodafácil.com.br,(61) 94321-8765,Intermediário,160,VEICULO
a0a5357c-badf-44c5-a789-cc1a478a08b3,0aad28da-c65a-47ef-8ecb-0f3ef404fbab,Aluga Bem,atendimento@alugabem.com,(71) 98765-4321,SUV,175,VEICULO
043bffd0-6267-4e43-bb55-05c1b217f980,0af386be-7763-4d7e-8b61-ef865351105c,Pé na Estrada,contato@penanestrada.com.br,(81) 91234-5678,Luxo,190,VEICULO
d6947d4b-cb54-428e-8a6a-56287843f89f,0b3cedd0-b9e8-4c42-b52c-047608982324,Carro Express,suporte@carroexpress.com,(91) 95678-1234,Econômico,135,VEICULO
d615d147-1fe9-48a9-a976-0f40c43cfd42,0baec014-296a-480c-883d-2789f4689f9d,Sempre em Frente,atendimento@sempreemfrente.com.br,(11) 96543-8765,Intermediário,145,VEICULO
98f38f6c-f107-47c1-93e2-88a0bf83893a,0c5b4de3-15e5-492a-b499-7cfa1523b278,Rota Livre,contato@rotalivre.com.br,(11) 98765-4321,Econômico,125,VEICULO
